Date, Open, High, Low, Close
02/05/24, 148.38, 148.90, 148.28, 148.68
02/02/24, 146.43, 148.58, 146.25, 148.38
02/01/24, 146.94, 147.11, 145.90, 146.42
01/31/24, 147.60, 147.90, 146.00, 146.95
01/30/24, 147.50, 147.93, 147.10, 147.60
01/29/24, 148.19, 148.34, 147.26, 147.50
01/26/24, 147.63, 148.20, 147.47, 148.16
01/25/24, 147.51, 147.91, 147.10, 147.66
01/24/24, 148.38, 148.54, 146.66, 147.51
01/23/24, 148.11, 148.71, 147.00, 148.38
01/22/24, 148.14, 148.33, 147.63, 148.11
01/19/24, 148.13, 148.81, 147.84, 148.15
01/18/24, 148.16, 148.30, 147.66, 148.16
01/17/24, 147.22, 148.52, 147.09, 148.16
01/16/24, 145.74, 147.31, 145.59, 147.19
01/15/24, 144.87, 145.96, 144.85, 145.75
01/12/24, 145.43, 145.57, 144.36, 144.82
01/11/24, 145.72, 146.42, 145.26, 145.28
01/10/24, 144.48, 145.85, 144.32, 145.76
01/09/24, 144.28, 144.62, 143.44, 144.48
01/08/24, 144.63, 144.93, 143.66, 144.23
01/05/24, 144.63, 145.96, 143.81, 144.62
01/04/24, 143.29, 144.85, 142.87, 144.63
01/03/24, 141.99, 143.73, 141.86, 143.28
01/02/24, 140.88, 142.22, 140.82, 141.99
01/01/24, 141.03, 141.41, 140.82, 140.88
12/29/23, 141.41, 141.92, 140.80, 141.03
12/28/23, 141.82, 141.85, 140.26, 141.41
12/27/23, 142.40, 142.85, 141.57, 141.84
12/26/23, 142.31, 142.63, 141.96, 142.40
12/25/23, 142.40, 142.56, 142.13, 142.32
12/22/23, 142.12, 142.66, 141.88, 142.46
12/21/23, 143.49, 143.61, 142.05, 142.12
12/20/23, 143.84, 144.09, 143.26, 143.56
12/19/23, 142.79, 144.96, 142.25, 143.84
12/18/23, 142.13, 143.16, 142.07, 142.80
12/15/23, 141.89, 142.47, 141.43, 142.16
12/14/23, 142.88, 142.89, 140.96, 141.89
12/13/23, 145.45, 145.99, 142.66, 142.88
12/12/23, 146.16, 146.19, 144.74, 145.45
12/11/23, 144.87, 146.58, 144.79, 146.15
12/08/23, 144.13, 145.22, 142.50, 144.95
12/07/23, 147.34, 147.34, 141.74, 144.13
12/06/23, 147.15, 147.50, 146.90, 147.30
12/05/23, 147.22, 147.39, 146.56, 147.15
12/04/23, 146.81, 147.50, 146.24, 147.21
12/01/23, 148.20, 148.35, 146.66, 146.81
11/30/23, 147.23, 148.50, 146.84, 148.20
11/29/23, 147.47, 147.90, 146.67, 147.23
11/28/23, 148.68, 148.85, 147.32, 147.47
11/27/23, 149.47, 149.67, 148.55, 148.69
11/24/23, 149.54, 149.72, 149.20, 149.45
11/23/23, 149.56, 149.69, 148.89, 149.57
11/22/23, 148.39, 149.75, 148.02, 149.54
11/21/23, 148.37, 148.60, 147.16, 148.40
11/20/23, 149.53, 149.99, 148.10, 148.39
11/17/23, 150.72, 150.78, 149.21, 149.59
11/16/23, 151.38, 151.47, 150.29, 150.73
11/15/23, 150.37, 151.42, 150.06, 151.38
11/14/23, 151.72, 151.81, 150.16, 150.37
11/13/23, 151.53, 151.94, 151.21, 151.72
11/10/23, 151.35, 151.62, 151.22, 151.52
11/09/23, 150.98, 151.39, 150.78, 151.35
11/08/23, 150.37, 151.07, 150.32, 150.98
11/07/23, 150.08, 150.70, 149.94, 150.37
11/06/23, 149.38, 150.09, 149.25, 150.07
11/03/23, 150.46, 150.52, 149.23, 149.38
